COMET INFO:   Metrics [count] (min, max):
COMET INFO:     train_loss [5640]                                                                             : (0.4660390615463257, 0.6960039734840393)
COMET INFO:     validate_Phosphorylation-Y AUC PR [798]                                                       : (0.0841661521003683, 0.5057403275155785)
COMET INFO:     validate_Phosphorylation-Y AUC ROC [798]                                                      : (0.5036227690037114, 0.8021760380319125)
COMET INFO:     validate_Phosphorylation-Y F1 [798]                                                           : (0.11328976034858387, 0.5054115472017872)
COMET INFO:     validate_Phosphorylation-Y MCC [798]                                                          : (-0.02421319551122687, 0.36780706668626145)
COMET INFO:     validate_Phosphorylation-Y Validation Accuracy [798]                                          : (0.5500910746812386, 0.7214593020729216)
COMET INFO:     validate_Phosphorylation-Y Validation Precision [798]                                         : (0.07238307349665925, 0.3871938624963116)
COMET INFO:     validate_Phosphorylation-Y Validation Sensitivity [798]                                       : (0.2605210420841683, 0.8206919494344644)
COMET INFO:     validate_Phosphorylation-Y Validation Specificity [798]                                       : (0.5094043887147336, 0.7211112312182467)
COMET INFO: Experiment is live on comet.ml https://www.comet.com/brentvd/evaluation-retestt/eef33e56e5d84337874f9761359aabae

results!
{'gpu_mode': True, 'epochs': 400, 'batch_size': 512, 'learning_rate': 0.000198, 'test_data_ratio': 0.2, 'data_sample_mode': ['balanced'], 'crossValidation': False, 'loss_function': <class 'torch.nn.modules.loss.BCELoss'>, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'folds': 5, 'earlyStopping': True, 'ValidationMetric': 'Validation Loss (total)', 'earlyStoppingPatience': 25, 'CV_Repeats': 1, 'Experiment Name': 'retestt', 'weight_decay': 0.161356466, 'embeddingType': 'adaptiveEmbedding', 'LSTM_layers': 1, 'LSTM_hidden_size': 32, 'LSTM_dropout': 0, 'UseUncertaintyBasedLoss': False, 'useLrWeight': False, 'CreateFigures': False, 'SeperateTuningLRandWD': False, 'dontAverageLoss': False, 'predictSpecies': False, 'onlyPredictHumans': False, 'useSpecieFeature': True, 'SpecieFeatureHoldout': False, 'MultiTask_Species': False, 'species_weight': 0.15, 'TestSet': True, 'MusiteTest': True, 'split_2010': True, 'specieMetrics': True, 'CNNType': 'Musite', 'FCType': 'Adapt', 'aminoAcid': ['Phosphorylation-Y'], 'random_state': 2627112265, 'current_CV_Repeat': 1, 'layerToSplitOn': 'FC', 'sample_weights': [1.0], 'WeightDecayWeights': [], 'currentFold': 0}
{'Phosphorylation-Y Validation Accuracy': 0.5702930948832589, 'Phosphorylation-Y Validation Sensitivity': 0.5170340681362725, 'Phosphorylation-Y Validation Specificity': 0.5750902527075812, 'Phosphorylation-Y Validation Precision': 0.09877488514548238, 'Phosphorylation-Y AUC ROC': 0.5768685385210855, 'Phosphorylation-Y AUC PR': 0.1085001932989421, 
'Phosphorylation-Y MCC': 0.05119597470837218, 'Phosphorylation-Y F1': 0.16586306653809063, 'Validation Loss (Phosphorylation-Y)': 0.45316746830940247, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Accuracy": 0.3875, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Sensitivity": 1.0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Specificity": 0.26865671641791045, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Precision": 0.20967741935483872, 
"Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC ROC": 0.6383467278989667, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC PR": 0.1952555568530682, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) MCC": 0.2373420464031862, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) F1": 0.3466666666666667, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Accuracy": 0.2854077253218884, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Sensitivity": 0.9791666666666666, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Specificity": 0.24773755656108598, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Precision": 0.06601123595505617, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC ROC": 0.7151677978883861, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC PR": 0.11285517866871182, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) MCC": 0.11809676280843814, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) F1": 0.12368421052631579, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Accuracy": 0.7324978392394123, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Sensitivity": 0.37320574162679426, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Specificity": 0.7681710213776722, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Precision": 0.13780918727915195, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC ROC": 0.6044505563195399, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC PR": 0.11962187449282058, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) MCC": 0.09427538119769924, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) F1": 0.20129032258064514, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Accuracy": 0.5670103092783505, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Sensitivity": 0.6, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Specificity": 0.5642458100558659, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Precision": 0.10344827586206896, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC ROC": 0.6085661080074488, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC PR": 0.15348229567224997, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) MCC": 0.08820941244648885, 
"Phosphorylation-Y(species=tensor(4., device='cuda:0')) F1": 0.17647058823529413, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Accuracy": 0.9272727272727272, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Sensitivity": 0.0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Specificity": 0.9807692307692307, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Precision": 0.0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC ROC": 0.7884615384615384, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC PR": 0.11102198455139634, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) MCC": -0.03268602252303067, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) F1": 0.0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Accuracy": 0.7564102564102564, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Sensitivity": 0.2857142857142857, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Specificity": 0.7785234899328859, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Precision": 0.05714285714285714, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC ROC": 0.5953978906999041, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC PR": 0.05324810780063539, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) MCC": 0.03187909186037006, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) F1": 0.09523809523809522, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Accuracy": 0.9411764705882353, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Sensitivity": 0.0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Specificity": 1.0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Precision": nan, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) 
AUC ROC": 0.5625, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC PR": 0.06458333333333333, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) MCC": 0.0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) F1": 0.0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Accuracy": 0.31982942430703626, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Sensitivity": 0.9466666666666667, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Specificity": 0.2653534183082271, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Precision": 0.10070921985815603, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC ROC": 0.6353804557744303, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC PR": 0.14638631448225853, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) MCC": 0.1330884952469776, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) F1": 0.18205128205128207, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Accuracy": 0.49572649572649574, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Sensitivity": 0.5, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Specificity": 0.49523809523809526, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Precision": 0.1016949152542373, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC ROC": 0.5396825396825398, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC PR": 0.10421908033570881, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) MCC": -0.002889521799151183, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) F1": 0.16901408450704228, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Accuracy": 0.6423297785069729, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Sensitivity": 0.2782608695652174, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Specificity": 0.6802536231884058, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Precision": 0.08311688311688312, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC ROC": 0.5778906742281034, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC PR": 
0.11607355200000233, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) MCC": -0.026086539479554076, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) F1": 0.12800000000000003, 'Validation Loss (total)': 0.45316746830940247}
{'Phosphorylation-Y Validation Accuracy': 0, 'Phosphorylation-Y Validation Sensitivity': 0, 'Phosphorylation-Y Validation Specificity': 0, 'Phosphorylation-Y Validation Precision': 0, 'Phosphorylation-Y AUC ROC': 0, 'Phosphorylation-Y AUC PR': 0, 'Phosphorylation-Y MCC': 0, 'Phosphorylation-Y F1': 0, 'Validation Loss (Phosphorylation-Y)': 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(0., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(2., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) 
AUC ROC": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(3., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(4., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(5., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(8., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(12., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(13., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(16., device='cuda:0')) F1": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Accuracy": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Sensitivity": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Specificity": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Precision": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC ROC": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC PR": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) MCC": 0, "Phosphorylation-Y(species=tensor(20., device='cuda:0')) F1": 0, 'Validation Loss (total)': 0}
COMET INFO: ---------------------------
COMET INFO: Comet.ml Experiment Summary
COMET INFO: ---------------------------
COMET INFO:   Data:
COMET INFO:     display_summary_level : 1
COMET INFO:     url                   : https://www.comet.com/brentvd/evaluation-retestt/eef33e56e5d84337874f9761359aabae
COMET INFO:   Metrics:
COMET INFO:     0_Phosphorylation-Y AUC PR                                                         : 0.1085001932989421
COMET INFO:     0_Phosphorylation-Y AUC ROC                                                        : 0.5768685385210855
COMET INFO:     0_Phosphorylation-Y F1                                                             : 0.16586306653809063
COMET INFO:     0_Phosphorylation-Y MCC                                                            : 0.05119597470837218
COMET INFO:     0_Phosphorylation-Y Validation Accuracy                                            : 0.5702930948832589
COMET INFO:     0_Phosphorylation-Y Validation Precision                                           : 0.09877488514548238
COMET INFO:     0_Phosphorylation-Y Validation Sensitivity                                         : 0.5170340681362725
COMET INFO:     0_Phosphorylation-Y Validation Specificity                                         : 0.5750902527075812
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC PR                    : 0.1952555568530682
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC ROC                   : 0.6383467278989667
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) F1                        : 0.3466666666666667
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) MCC                       : 0.2373420464031862
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Accuracy       : 0.3875
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Precision      : 0.20967741935483872
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Sensitivity    : 1.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Specificity    : 0.26865671641791045
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC PR                   : 0.06458333333333333
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC ROC                  : 0.5625
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) F1                       : 0.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) MCC                      : 0.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Accuracy      : 0.9411764705882353
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Precision     : nan
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Sensitivity   : 0.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Specificity   : 1.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC PR                   : 0.14638631448225853
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC ROC                  : 0.6353804557744303
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) F1                       : 0.18205128205128207
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) MCC                      : 0.1330884952469776
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Accuracy      : 0.31982942430703626
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Precision     : 0.10070921985815603
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Sensitivity   : 0.9466666666666667
COMET INFO:     0_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Specificity   : 0.2653534183082271
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC PR                   : 0.10421908033570881
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC ROC                  : 0.5396825396825398
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) F1                       : 0.16901408450704228
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) MCC                      : -0.002889521799151183
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Accuracy      : 0.49572649572649574
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Precision     : 0.1016949152542373
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Sensitivity   : 0.5
COMET INFO:     0_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Specificity   : 0.49523809523809526
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC PR                    : 0.11285517866871182
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC ROC                   : 0.7151677978883861
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) F1                        : 0.12368421052631579
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) MCC                       : 0.11809676280843814
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Accuracy       : 0.2854077253218884
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Precision      : 0.06601123595505617
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Sensitivity    : 0.9791666666666666
COMET INFO:     0_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Specificity    : 0.24773755656108598
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC PR                   : 0.11607355200000233
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC ROC                  : 0.5778906742281034
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) F1                       : 0.12800000000000003
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) MCC                      : -0.026086539479554076
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Accuracy      : 0.6423297785069729
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Precision     : 0.08311688311688312
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Sensitivity   : 0.2782608695652174
COMET INFO:     0_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Specificity   : 0.6802536231884058
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC PR                    : 0.11962187449282058
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC ROC                   : 0.6044505563195399
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) F1                        : 0.20129032258064514
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) MCC                       : 0.09427538119769924
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Accuracy       : 0.7324978392394123
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Precision      : 0.13780918727915195
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Sensitivity    : 0.37320574162679426
COMET INFO:     0_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Specificity    : 0.7681710213776722
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC PR                    : 0.15348229567224997
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC ROC                   : 0.6085661080074488
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) F1                        : 0.17647058823529413
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) MCC                       : 0.08820941244648885
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Accuracy       : 0.5670103092783505
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Precision      : 0.10344827586206896
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Sensitivity    : 0.6
COMET INFO:     0_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Specificity    : 0.5642458100558659
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC PR                    : 0.11102198455139634
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC ROC                   : 0.7884615384615384
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) F1                        : 0.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) MCC                       : -0.03268602252303067
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Accuracy       : 0.9272727272727272
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Precision      : 0.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Sensitivity    : 0.0
COMET INFO:     0_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Specificity    : 0.9807692307692307
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC PR                    : 0.05324810780063539
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC ROC                   : 0.5953978906999041
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) F1                        : 0.09523809523809522
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) MCC                       : 0.03187909186037006
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Accuracy       : 0.7564102564102564
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Precision      : 0.05714285714285714
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Sensitivity    : 0.2857142857142857
COMET INFO:     0_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Specificity    : 0.7785234899328859
COMET INFO:     0_Validation Loss (Phosphorylation-Y)                                              : 0.45316746830940247
COMET INFO:     0_Validation Loss (total)                                                          : 0.45316746830940247
COMET INFO:     avg_Phosphorylation-Y AUC PR                                                       : 0.1085001932989421
COMET INFO:     avg_Phosphorylation-Y AUC ROC                                                      : 0.5768685385210855
COMET INFO:     avg_Phosphorylation-Y F1                                                           : 0.16586306653809063
COMET INFO:     avg_Phosphorylation-Y MCC                                                          : 0.05119597470837218
COMET INFO:     avg_Phosphorylation-Y Validation Accuracy                                          : 0.5702930948832589
COMET INFO:     avg_Phosphorylation-Y Validation Precision                                         : 0.09877488514548238
COMET INFO:     avg_Phosphorylation-Y Validation Sensitivity                                       : 0.5170340681362725
COMET INFO:     avg_Phosphorylation-Y Validation Specificity                                       : 0.5750902527075812
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC PR                  : 0.1952555568530682
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC ROC                 : 0.6383467278989667
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) F1                      : 0.3466666666666667
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) MCC                     : 0.2373420464031862
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Accuracy     : 0.3875
